date,time,home-team,home-score,away-score,away-team,pts,ast,reb,min,fg,fga,3p,3pa,ft,fta,or,dr,pf,st,to,bs,result
02/12/2017,01:00,Chicago Bulls,106,107,Sacramento Kings,0.725494384765625,0.19482707977294922,0.7869503498077393,2.2332820892333984,0.1878678798675537,0.851252555847168,0.35173332691192627,1.1571400165557861,-0.0019747018814086914,-0.020385265350341797,0.02170342206954956,-0.03395044803619385,0.10761356353759766,-0.03395044803619385,-0.03718984127044678,-0.03382483124732971,false
02/12/2017,01:00,Miami Heat,105,100,Charlotte Hornets,0.4099578857421875,0.5117590427398682,-0.915459394454956,1.9097557067871094,0.22887444496154785,0.6691923141479492,0.4830191135406494,1.3073077201843262,-0.5308108329772949,-1.0017460584640503,-0.3829945921897888,0.19466465711593628,0.3712122440338135,0.19466465711593628,0.3599834442138672,-0.10626846551895142,true
02/12/2017,00:30,Toronto Raptors,120,115,Indiana Pacers,-1.1005535125732422,-0.6216065883636475,-0.7866227626800537,-3.84759521484375,-0.5026326179504395,-1.236891746520996,0.03678441047668457,0.4096400737762451,-0.1320735216140747,-0.1707754135131836,-0.12944304943084717,-0.16454440355300903,-0.026599407196044922,-0.16454440355300903,-0.27773356437683105,-0.1015174388885498,true
02/12/2017,02:00,Utah Jazz,114,108,New Orleans Pelicans,-2.032634735107422,-0.5908610820770264,-0.8864212036132812,-2.8817291259765625,-0.8112640380859375,-1.4931721687316895,-0.049522995948791504,-0.49953794479370117,-0.36058366298675537,-0.6170114278793335,-0.11245167255401611,0.14881408214569092,-0.06812191009521484,0.14881408214569092,-0.3318171501159668,-0.053409963846206665,true
02/12/2017,00:00,Washington Wizards,109,91,Detroit Pistons,-0.2752208709716797,-0.529576301574707,-0.010174989700317383,0.30908203125,-0.20448017120361328,-0.4300985336303711,-0.0945214033126831,-0.2288682460784912,0.22826147079467773,0.22337234020233154,-0.08974063396453857,-0.06820076704025269,0.2910499572753906,-0.06820076704025269,-0.15944576263427734,-0.006880640983581543,true
02/12/2017,01:00,Oklahoma City Thunder,111,107,Minnesota Timberwolves,-2.778143882751465,-0.5177404880523682,-0.9295313358306885,-5.178188323974609,-1.0169858932495117,-1.6960177421569824,0.11264443397521973,0.3450193405151367,-0.8568159341812134,-0.9643634557723999,-0.2488357424736023,-0.03518819808959961,-0.07950210571289062,-0.03518819808959961,-0.23186087608337402,0.01126021146774292,true
25/05/2018,02:00,Houston Rockets,98,94,Golden State Warriors,3.643301010131836,0.4642167091369629,1.5523388385772705,7.347232818603516,0.9069657325744629,2.6877079010009766,0.8166675567626953,2.536252498626709,1.0127012729644775,1.3491308689117432,0.297346293926239,0.3754010796546936,0.4925934076309204,0.3754010796546936,0.2729649543762207,-0.049433350563049316,true
21/03/2018,23:00,Cleveland Cavaliers,132,129,Toronto Raptors,-0.07768535614013672,-0.1300954818725586,-0.5997960567474365,-1.8321762084960938,-0.14348530769348145,-0.38489389419555664,0.19248569011688232,0.2775397300720215,0.016800403594970703,0.04064011573791504,-0.28273987770080566,-0.1096639633178711,-0.5323171615600586,-0.1096639633178711,-0.019885897636413574,-0.23082497715950012,true
21/03/2018,00:00,Boston Celtics,100,99,Oklahoma City Thunder,-2.034855842590332,-0.5546823740005493,0.17609286308288574,-2.1456642150878906,-0.7096161842346191,-1.5499615669250488,-0.19404637813568115,-0.7306921482086182,-0.4215759038925171,-0.6418261528015137,-0.20971232652664185,-0.3263835906982422,-0.26160502433776855,-0.3263835906982422,-0.2855609655380249,0.008436441421508789,true
21/03/2018,23:30,Brooklyn Nets,105,111,Charlotte Hornets,2.042255401611328,1.1391770839691162,0.6436009407043457,4.783912658691406,0.6200370788574219,1.8456907272338867,0.5288974046707153,1.6632614135742188,0.2732006311416626,0.1518559455871582,0.14023739099502563,0.13040423393249512,0.5912150144577026,0.13040423393249512,0.5762717723846436,0.03800171613693237,false
21/03/2018,00:00,Minnesota Timberwolves,123,109,Los Angeles Clippers,0.5473728179931641,0.09987807273864746,0.06667685508728027,1.888448715209961,0.32242345809936523,0.4525156021118164,-0.17823398113250732,-0.5057988166809082,0.08075988292694092,0.00941777229309082,0.12207633256912231,0.0354609489440918,0.038933515548706055,0.0354609489440918,-0.05619454383850098,0.018837779760360718,true
21/03/2018,02:00,Phoenix Suns,88,115,Detroit Pistons,-3.1509780883789062,-0.5435254573822021,-0.9613053798675537,-4.188512802124023,-1.1985805034637451,-2.3160452842712402,-0.17620354890823364,-0.3259243965148926,-0.577613115310669,-0.6557515859603882,-0.36896586418151855,-0.11812770366668701,-0.0023952722549438477,-0.11812770366668701,-0.2845684289932251,0.03411608934402466,false
21/03/2018,23:30,Miami Heat,119,98,New York Knicks,-1.471919059753418,-0.23798978328704834,-0.6844120025634766,-0.3533935546875,-0.795217752456665,-1.4205493927001953,0.3734893202781677,0.7181367874145508,-0.25497353076934814,-0.35717082023620605,-0.3226318359375,-0.056382954120635986,-0.18029999732971191,-0.056382954120635986,-0.3342430591583252,0.03728511929512024,true
21/03/2018,02:30,Portland Trail Blazers,111,115,Houston Rockets,-2.7309484481811523,-0.7808911800384521,-0.46747446060180664,-3.9786434173583984,-0.6445417404174805,-1.2187280654907227,-0.8271653652191162,-2.3386166095733643,-0.6146990060806274,-0.7814226150512695,0.02883082628250122,-0.307695209980011,-0.24757957458496094,-0.307695209980011,-0.22052538394927979,-0.01819247007369995,false
21/03/2018,01:00,Utah Jazz,94,99,Atlanta Hawks,1.0770339965820312,0.5496889352798462,0.8200006484985352,3.904752731323242,0.28313732147216797,0.6101584434509277,-0.0406680703163147,0.0394434928894043,0.5514276027679443,0.745936393737793,0.11616086959838867,0.26904261112213135,0.3386380672454834,0.26904261112213135,0.36026573181152344,0.24871397018432617,false
21/03/2018,23:00,Philadelphia 76ers,119,105,Memphis Grizzlies,2.1816444396972656,0.6434379816055298,0.6378395557403564,1.2873210906982422,0.7271592617034912,1.2521576881408691,0.3168438673019409,0.681074857711792,0.4091554880142212,0.5686620473861694,0.16735416650772095,0.02752554416656494,-0.28496837615966797,0.02752554416656494,0.11604452133178711,0.006555229425430298,false
21/03/2018,00:00,New Orleans Pelicans,115,105,Dallas Mavericks,-0.08385944366455078,0.04564034938812256,-0.41024255752563477,-1.4981002807617188,0.018447399139404297,-0.2699904441833496,-0.10348987579345703,-0.31359076499938965,-0.017264842987060547,-0.05618572235107422,-0.13369286060333252,-0.010381042957305908,-0.2323857545852661,-0.010381042957305908,-0.05323183536529541,0.22669872641563416,true
26/04/2018,00:00,Cleveland Cavaliers,98,95,Indiana Pacers,-0.023221969604492188,-0.3956739902496338,-0.6224522590637207,-2.561655044555664,-0.2691187858581543,-0.6660566329956055,0.35907143354415894,0.7963721752166748,0.1559441089630127,0.12389063835144043,-0.33249372243881226,-0.2398824691772461,-0.33637380599975586,-0.2398824691772461,-0.28677666187286377,-0.12731337547302246,true
26/04/2018,02:30,Houston Rockets,122,104,Minnesota Timberwolves,-0.3885946273803711,-0.3261575698852539,0.028740406036376953,-1.9676494598388672,-0.4671604633331299,-0.6525554656982422,0.6715216040611267,1.8693256378173828,-0.12579548358917236,-0.04496431350708008,-0.09174114465713501,-0.09014493227005005,0.13358068466186523,-0.09014493227005005,-0.027624130249023438,0.07362017035484314,true
26/04/2018,00:00,Toronto Raptors,108,98,Washington Wizards,-0.7567110061645508,-0.8089132308959961,-0.21914958953857422,-2.7602081298828125,-0.29247403144836426,-0.871211051940918,-0.011837601661682129,0.4282679557800293,-0.15992498397827148,-0.2570040225982666,-0.04823333024978638,-0.16446077823638916,-0.09517216682434082,-0.16446077823638916,-0.3233579397201538,0.10752496123313904,true
26/04/2018,02:30,Oklahoma City Thunder,107,99,Utah Jazz,0.7206001281738281,-0.010630369186401367,-0.08021306991577148,-0.2768745422363281,0.2695581912994385,1.056262493133545,0.14117980003356934,0.43738675117492676,0.04030406475067139,0.14924168586730957,0.13237369060516357,0.08271878957748413,-0.11337125301361084,0.08271878957748413,-0.02184438705444336,-0.1664418876171112,true
23/03/2018,23:30,New York Knicks,104,108,Minnesota Timberwolves,-1.4759807586669922,-0.20585894584655762,-0.5217475891113281,-4.714633941650391,-0.41561126708984375,-0.48068714141845703,-0.1546783447265625,-0.08893036842346191,-0.490079402923584,-0.5298659801483154,-0.06258904933929443,-0.15948563814163208,-0.36014723777770996,-0.15948563814163208,0.034169673919677734,-0.05999410152435303,false
23/03/2018,02:00,Sacramento Kings,105,90,Atlanta Hawks,1.836317539215088,0.5289722681045532,0.30339908599853516,3.5035476684570312,0.9044351577758789,2.040522575378418,-0.17822527885437012,-0.37423503398895264,0.20567280054092407,0.32677292823791504,0.17339438199996948,0.24565160274505615,0.2932626008987427,0.24565160274505615,0.2669419050216675,0.1047610342502594,true
23/03/2018,23:30,Cleveland Cavaliers,120,95,Phoenix Suns,2.6502513885498047,-0.0843275785446167,0.49053168296813965,1.0216655731201172,0.9947903156280518,1.2603483200073242,0.18166130781173706,0.27785825729370117,0.479009747505188,0.45620179176330566,0.20121926069259644,0.006758213043212891,-0.26552557945251465,0.006758213043212891,-0.1472235918045044,-0.04703596234321594,true
